name,color,price,sizes,link,image,code
Dunk High 1985,Red Acid Wash ,"R$ 799,99","['36', '37', '38', '39', '39,5', '40', '40,5', '42', '42,5', '43', '44', '46']","https://www.nike.com.br/dunk-high-1985-153-169-211-350219,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-1985-sp-DD9404-600-1-11628003802.jpg,DD9404-600
Dunk Low,Sail Multi-Camo ,"R$ 799,99","['38', '39', '40', '41', '43']","https://www.nike.com.br/dunk-low-513-514-515-345312,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-se-DH0957-100-1-11625585262.jpg,DH0957-100
Women's Air Jordan 1 High Og,Seafoam ,"R$ 1.199,99",[],"https://www.nike.com.br/womens-air-jordan-1-high-og-1-16-210-332974,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-high-og-CD0461-002-1-11621539675.jpg,CD0461-002
Dunk High x AMBUSH,Flash Lime ,"R$ 1.199,99",[],"https://www.nike.com.br/dunk-high-x-ambush-513-514-515-349627,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-ambush-CU7544-300-1-11626788809.jpg,CU7544-300
SB Dunk High Pro,Maize and Black ,"R$ 699,99",[],"https://www.nike.com.br/sb-dunk-high-pro-513-514-515-339298,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-high-pro-unissex-DB1640-001-1-11624383716.jpg,DB1640-001
Dunk Low Infantil (24-33),Black and White ,"R$ 399,99",[],"https://www.nike.com.br/dunk-low-infantil-24-33-67-80-445-295183,",https://images.lojanike.com.br/1024x1024/produto/dunk-low-infantil-26-335-CW1588-100-1.jpg,CW1588-100
SB Dunk Low Pro,Barcelona   ,"R$ 649,99","['37', '38']","https://www.nike.com.br/sb-dunk-low-pro-513-514-515-346215,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-sb-dunk-low-pro-unissex-DJ0606-400-1-11626190355.jpg,DJ0606-400
Air Jordan 1 Retro High Boys,Electro Orange ,"R$ 899,99",[],"https://www.nike.com.br/air-jordan-1-retro-high-boys-153-169-211-332182,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-retro-high-og-bg-575441-180-1-11621539421.jpg,575441-180
Air Jordan 1 Retro High,Electro Orange ,"R$ 1.199,99",[],"https://www.nike.com.br/air-jordan-1-retro-high-153-169-211-326118,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-retro-high-og-555088-180-1.jpg,555088-180
Women's Air Jordan 1,Court Purple ,"R$ 1.199,99",['35'],"https://www.nike.com.br/womens-air-jordan-1-1-16-210-310017,",https://images.lojanike.com.br/1024x1024/produto/tenis-wmns-air-jordan-1-high-og-CD0461-151-1.jpg,CD0461-151
Dunk High x Fragment design,Black ,"R$ 499,99","['28', '30']","https://www.nike.com.br/dunk-high-x-fragment-design-67-80-445-331125,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-hi-f-bp-DJ4285-600-1-11622138336.jpg,DJ4285-600
Air Jordan 1 Low OG,Neutral Grey ,"R$ 899,99",[],"https://www.nike.com.br/air-jordan-1-low-og-153-169-211-315618,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-og-CZ0790-100-1.jpg,CZ0790-100
Nike Dunk Low,Zebra ,"R$ 799,99",[],"https://www.nike.com.br/nike-dunk-low-153-169-211-323268,",https://images.lojanike.com.br/1024x1024/produto/tenis-nike-dunk-low-retro-prm-DH7913-001-1-11622138310.jpg,DH7913-001
