name,color,image,link,date,price,code
AJKO 1 ,Storm Blue ,https://images.lojanike.com.br/500x500/produto/ajko-1-DO5047-401-1-11629381483.jpg,https://www.nike.com.br/ajko-1-153-169-211-348322,Disponível às 15/09 às 10:00,"R$ 799,99",DO5047-401
KD14 ,Ron English 1 ,https://images.lojanike.com.br/500x500/produto/tenis-kd14-DO6903-400-1-11629381493.jpg,https://www.nike.com.br/kd14-153-169-211-350895,Disponível às 15/09 às 10:00,"R$ 899,99",DO6903-400
NIKE DRIFTER ISPA ,NTRL ,https://images.lojanike.com.br/500x500/produto/tenis-nike-drifter-ispa-ntrl-CZ0238-100-1-11629381241.jpg,https://www.nike.com.br/nike-drifter-ispa-153-169-211-350019,Disponível às 15/09 às 10:00,"R$ 1.299,99",CZ0238-100
ISPA Flow 2020 SE ,Black Iron ,https://images.lojanike.com.br/500x500/produto/tenis-nike-flow-2020-ispa-se-CW3045-300-1-11630590830.jpg,https://www.nike.com.br/ispa-flow-2020-se-153-169-211-349197,Disponível às 15/09 às 10:00,"R$ 1.099,99",CW3045-300
LDWaffle x SACAI x CLOT ,Orange Blaze ,https://images.lojanike.com.br/500x500/produto/tenis-nike-ldwaffle-s-c-DH1347-100-1-11630421016.jpg,https://www.nike.com.br/ldwaffle-x-sacai-x-clot-153-169-211-350263,Disponível às 16/09 às 10:00,"R$ 1.199,99",DH1347-100
Women's Dunk Low , Light Soft Pink ,https://images.lojanike.com.br/500x500/produto/tenis-w-nike-dunk-low-DD1503-600-1-11624383745.jpg,https://www.nike.com.br/womens-dunk-low-1-16-210-341286,Disponível às 18/09 às 10:00,"R$ 749,99",DD1503-600
Women's Dunk High ,Lemon Twist ,https://images.lojanike.com.br/500x500/produto/tenis-w-nike-dunk-high-DD1869-108-1-11624383752.jpg,https://www.nike.com.br/womens-dunk-high-1-16-210-341455,Disponível às 18/09 às 10:00,"R$ 799,99",DD1869-108
LEBRON XVIII LOW ,Daughters ,https://images.lojanike.com.br/500x500/produto/tenis-lebron-xviii-low-CV7562-400-1-11629820354.jpg,https://www.nike.com.br/lebron-xviii-low-153-169-211-349952,Disponível às 18/09 às 10:00,"R$ 1.099,99",CV7562-400
Air Jordan 13 ,Obsidian ,https://images.lojanike.com.br/500x500/produto/tenis-air-jordan-13-retro-masculino-414571-144-1-11628003673.jpg,https://www.nike.com.br/air-jordan-13-153-169-211-332007,Disponível às 18/09 às 10:00,"R$ 1.299,99",414571-144
