name,color,price,sizes,link,image,code
Air Jordan 1 Mid Masculino,Branco,"R$ 899,99",[],"https://www.nike.com.br/tenis-air-jordan-1-mid-masculino-153-169-222-332136,https://www.nike.com.br/tenis-air-jordan-1-mid-masculino-153-169-222-332138,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-mid-554724-177-1-11622563465.jpg,554724-177
Air Jordan 1 Low SE Masculino,Azul,"R$ 899,99",[],"https://www.nike.com.br/tenis-air-jordan-1-low-se-masculino-153-169-222-345347,https://www.nike.com.br/tenis-air-jordan-1-low-se-masculino-153-169-222-345352,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-se-masculino-DH1259-400-1-11624978990.jpg,DH1259-400
Air Jordan 1 Mid Masculino,Branco,"R$ 899,99",[],"https://www.nike.com.br/tenis-air-jordan-1-mid-masculino-153-169-222-308640,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-mid-554724-122-1.jpg,554724-122
Air Jordan 1 Mid SE Masculino,Preto,"R$ 999,99",[],"https://www.nike.com.br/tenis-air-jordan-1-mid-se-masculino-153-169-222-348105,https://www.nike.com.br/tenis-air-jordan-1-mid-se-masculino-153-169-222-348118,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-mid-se-rec-DM3529-001-1-11621543436.jpg,DM3529-001
Air Jordan 1 Low SE Masculino,Cinza,"R$ 899,99","['38 ', '39 ', '43 ', '44 ', '45 ', '46 ']","https://www.nike.com.br/tenis-air-jordan-1-low-se-masculino-153-169-222-348205,https://www.nike.com.br/tenis-air-jordan-1-low-se-masculino-153-169-222-348213,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-se-rec-DM4657-001-1-11621543460.jpg,DM4657-001
Air Jordan 1 Mid SE Masculino,Vermelho,"R$ 999,99","['40 ', '41 ', '42 ', '43 ', '44 ', '45 ', '46 ']","https://www.nike.com.br/tenis-air-jordan-1-mid-se-masculino-153-169-222-348188,https://www.nike.com.br/tenis-air-jordan-1-mid-se-masculino-153-169-222-348189,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-mid-se-masculino-DM4352-600-1-11624979116.jpg,DM4352-600
Air Jordan 1 Low Masculino,Branco,"R$ 799,99",['45 '],"https://www.nike.com.br/tenis-air-jordan-1-low-masculino-153-169-222-332069,https://www.nike.com.br/tenis-air-jordan-1-low-masculino-153-169-222-332085,",https://images.lojanike.com.br/1024x1024/produto/tenis-air-jordan-1-low-553558-171-1-11622138169.jpg,553558-171
